what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1246412301991
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1246412301991
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1246412301991
started,bundle,com.collabnet.subversion.merge,1.9.0.4,com.collabnet.subversion.merge,1246412301991
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,org.tigris.subversion.clientadapter,1246412301991
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,org.tigris.subversion.subclipse.core,1246412301991
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1246412301991
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1246412301991
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1246412302319
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1246412302335
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1246412302350
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1246412313941
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.core,1246412313972
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.gnu.ui,1246412314144
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246412314393
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1246412371264
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1246412371327
started,bundle,org.eclipse.cdt.make.core,5.0.2.200902130801,org.eclipse.cdt.make.core,1246412371358
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.3,org.tigris.subversion.clientadapter.javahl,1246412372403
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.2,org.tigris.subversion.clientadapter.svnkit,1246412372403
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1246412375196
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1246412375258
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1246412748073
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1246412759790
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1246412775936
