what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1246144472107
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1246144472110
activated,perspective,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.CPerspective,1246144473053
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1246144473057
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144473754
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144478447
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144481636
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144483029
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144484054
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144484749
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144485638
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1246144502046
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144509513
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144511846
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144512683
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246144513871
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144513876
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144515011
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144515090
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246144516700
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246144516702
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1246144532717
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144541739
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144580278
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246144583265
