what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246141996284
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142028826
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246142028841
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142037359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142144640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246142144656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142156995
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142227102
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246142227117
activated,perspective,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugPerspective,1246142231158
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1246142231158
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.MemoryView,1246142231236
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1246142231251
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1246142231267
opened,editor,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1246142231314
activated,editor,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1246142233170
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142233264
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142306568
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142308191
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246142327706
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246142327769
closed,editor,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1246142327769
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246142327831
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1246142327878
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1246142333697
